#RMID,longname,RA,Dec,z,imag,snr,wLw,Mbh
756,J140923.42+515120.1,212.3476,51.8556,0.853,20.292,4.2,44.1,8.2
757,J141902.09+514459.1,214.7587,51.7498,1.125,21.072,3.1,-99,-99
761,J142412.93+523903.4,216.0539,52.651,0.771,20.426,9.6,44.5,8.5
762,J141919.08+542432.8,214.8295,54.4091,0.782,20.475,8.2,44.6,8.9
764,J142222.21+520819.3,215.5925,52.1387,0.985,20.9,2,43.8,8.1
766,J141419.84+533815.3,213.5827,53.6376,0.165,17.461,41.3,43.7,7.5
767,J141650.93+535157.0,214.2122,53.8658,0.527,20.233,4.1,43.9,7.5
768,J140915.70+532721.8,212.3154,53.4561,0.258,18.875,17.8,43.3,8.7
769,J141253.92+540014.4,213.2247,54.004,0.187,18.702,16.7,43,7.9
772,J142135.90+523138.9,215.3996,52.5275,0.249,18.87,14.8,43.4,7.6
773,J141701.93+541340.5,214.2581,54.2279,1.103,19.262,13.1,-99,-99
775,J140759.07+534759.8,211.9961,53.7999,0.172,17.91,28.6,43.5,7.9
776,J140812.09+535303.3,212.0504,53.8842,0.116,17.976,25.7,43.1,7.8
778,J141418.55+542521.8,213.5773,54.4227,0.786,19.492,15,44.8,8.6
779,J141923.37+542201.7,214.8474,54.3671,0.152,19.096,11.9,43.1,7.4
781,J142103.53+515819.5,215.2647,51.9721,0.263,19.305,14.7,43.6,7.8
782,J141318.96+543202.4,213.329,54.534,0.362,18.892,13.9,43.9,8
783,J141319.83+513718.1,213.3326,51.6217,0.984,18.797,20.3,45.1,8.5
788,J141231.73+525837.9,213.1322,52.9772,0.843,21.232,1.7,43.8,8.4
789,J141644.17+532556.1,214.184,53.4322,0.425,20.203,7.6,43.7,8.1
790,J141729.27+531826.5,214.372,53.3074,0.237,18.672,19.5,43.3,8.4
792,J141800.72+532035.9,214.503,53.3433,0.526,20.636,3.1,43,7.8
797,J141427.89+535309.7,213.6162,53.886,0.242,19.997,8.2,43.1,7
798,J141202.88+522026.1,213.012,52.3406,0.423,19.145,15.8,44,7.6
804,J142100.04+532139.6,215.2502,53.361,0.677,20.347,6.2,44,7.5
805,J140827.04+532323.3,212.1127,53.3898,0.62,20.328,6.3,44,7.8
808,J141546.21+540954.7,213.9425,54.1652,0.956,20.111,6.6,44.6,9
812,J141945.51+521342.2,214.9396,52.2284,0.702,20.181,5.7,44,8.4
813,J141222.07+541020.0,213.0919,54.1722,0.955,20.759,4.5,44.3,7.5
814,J140741.04+524037.0,211.921,52.6769,0.958,21.269,2.7,44.3,8.7
822,J141308.10+515210.4,213.2838,51.8695,0.288,19.182,13.3,43.6,7.4
823,J141501.64+541930.9,213.7568,54.3253,1.101,21.069,2.8,-99,-99
824,J141038.11+520032.9,212.6588,52.0091,0.845,21.526,2.7,43.9,8.5
838,J141731.16+542350.4,214.3799,54.3973,0.855,21.212,1.9,43.9,8.5
839,J141358.91+542706.0,213.4954,54.4517,0.975,20.644,2.2,44.2,9.1
840,J141645.15+542540.8,214.1881,54.428,0.244,18.632,14.1,43.2,8.3
843,J141907.91+530025.5,214.783,53.0071,0.563,20.846,2.8,43.3,7.6
845,J142321.70+532242.7,215.8404,53.3785,0.273,19.665,6.9,42.7,7.7
846,J142241.37+532646.7,215.6724,53.4463,0.228,21.54,1.3,41.8,7.5
847,J142324.24+533511.2,215.851,53.5864,0.758,19.965,5.9,44.3,9
848,J142225.62+533426.3,215.6067,53.574,0.757,20.806,3.3,43.7,7.8
