#RMID,redshift,tau_cent,tau_cent_uperr,tau_cent_loerr,sigma_line_mean,sigma_line_mean_err,name,redshift,tau_cent,tau_cent_uperr,tau_cent_loerr,sigma_line_mean,sigma_line_mean_err,vp_msun_uperr/(1.e7),vp_msun_loerr/(1.e7),mbh/(1.e7),mbh_uperr/(1.e7),mbh_loerr/(1.e7),sigstar,sigstar_err
767,0.527,31.556,9.633,12.788,1123,26,768,1.527,32.556,10.633,13.788,1124,27,0.5,0.6,6,2.1,2.6,-99,-99
772,0.249,3.829,0.817,12.158,1065,14,773,1.249,4.829,1.817,13.158,1066,15,0,0.3,0.4,0.1,1.1,136.5,3.1
775,0.172,15.574,19.469,8.145,1578,5,776,1.172,16.574,20.469,9.145,1579,6,1.3,0.5,4.5,5.7,2.5,130.4,2.6
776,0.116,8.986,8.615,19.893,1501,5,777,1.116,9.986,9.615,20.893,1502,6,0.3,0.8,1.6,1.5,3.5,112.4,1.9
778,0.786,0.743,12.974,0.611,4699,23,779,1.786,1.743,13.974,1.611,4700,24,5.8,0.3,1.5,25.8,1.2,-99,-99
781,0.263,65.717,5.55,1.941,1169,5,782,1.263,66.717,6.55,2.941,1170,6,0.3,0.2,6.8,1.2,1.1,104.7,4.3
782,0.362,18.014,3.275,12.376,1378,6,783,1.362,19.014,4.275,13.376,1379,7,0.2,0.5,2.9,0.7,2,129.5,6.7
790,0.237,7.543,7.681,3.986,6813,13,791,1.237,8.543,8.681,4.986,6814,14,6.1,3.2,26.3,27.1,14.5,204.4,3.1
822,0.288,9.989,1.407,4.229,1114,13,823,1.288,10.989,2.407,5.229,1115,14,0.1,0.1,1.4,0.3,0.6,104,4
824,0.845,42.189,1.215,3.489,6738,88,825,1.845,43.189,2.215,4.489,6739,89,7.5,8.3,205.9,33.5,37.1,239.9,39.6
840,0.244,4.998,2.117,1.666,6596,22,841,1.244,5.998,3.117,2.666,6597,23,0.9,0.7,8.7,3.9,3.2,164.3,3.6
